City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
299,Muisne,EC,0.60,-80.03,77.85,82,91,7.54,overcast clouds
300,Diego De Almagro,CL,-26.37,-70.05,72.91,23,0,4.32,clear sky
301,Puerto Escondido,MX,15.85,-97.07,88.63,74,0,6.91,clear sky
302,Meadow Lake,US,34.80,-106.54,76.42,23,0,13.42,clear sky
303,Saint George,US,37.10,-113.58,61.95,20,0,1.01,clear sky
304,Leshukonskoye,RU,64.90,45.76,55.63,61,5,3.6,clear sky
305,San Patricio,US,28.02,-97.52,86.07,59,16,14.05,few clouds
306,Barra Do Garcas,BR,-15.89,-52.26,84.78,84,0,0.0,clear sky
307,Alexandria,EG,31.22,29.96,71.56,60,40,11.5,scattered clouds
308,Victoria,HK,22.29,114.16,80.65,96,100,1.99,overcast clouds
309,Martapura,ID,-3.42,114.85,80.69,100,75,1.14,light rain
310,Buhe,CN,30.29,112.23,63.34,81,93,7.47,overcast clouds
311,Belaya Gora,RU,68.53,146.42,10.74,94,22,7.38,few clouds
312,Kununurra,AU,-15.77,128.73,69.78,83,40,0.0,scattered clouds
313,Inyonga,TZ,-6.72,32.07,76.41,61,52,3.51,broken clouds
314,Mount Gambier,AU,-37.83,140.77,55.74,96,99,4.41,overcast clouds
315,Itambe,BR,-15.24,-40.62,86.85,39,60,3.11,broken clouds
316,Bugry,RU,60.07,30.39,62.38,76,84,11.21,broken clouds
317,Fairbanks,US,64.84,-147.72,33.8,84,0,3.44,clear sky
318,Locri,IT,38.24,16.26,70.92,56,0,2.39,clear sky
319,Saint-Joseph,RE,-21.37,55.62,77.38,82,25,4.79,light rain
320,Kloulklubed,PW,7.04,134.26,75.7,89,100,12.17,overcast clouds
321,Nuuk,GL,64.18,-51.72,32.61,100,100,4.61,overcast clouds
322,Coahuayana,MX,18.73,-103.68,85.66,47,85,3.44,overcast clouds
323,Pacifica,US,37.61,-122.49,54.72,77,20,10.36,few clouds
324,Cabinda,AO,-5.55,12.20,84.34,79,20,8.05,few clouds
325,Horsham,GB,51.06,-0.33,59.02,91,75,14.97,light intensity drizzle rain
326,Sungaipenuh,ID,-2.08,101.38,66.9,92,97,0.72,overcast clouds
327,Aloleng,PH,16.13,119.78,83.68,74,6,5.97,clear sky
328,Salalah,OM,17.02,54.09,89.69,48,0,8.05,clear sky
329,Kokopo,PG,-4.35,152.26,77.72,82,100,2.06,overcast clouds
330,Kruisfontein,ZA,-34.00,24.73,61.88,67,0,15.21,clear sky
331,Toropets,RU,56.50,31.64,62.98,45,90,6.8,overcast clouds
332,Flin Flon,CA,54.77,-101.86,48.04,71,40,10.36,scattered clouds
333,Korla,CN,41.76,86.15,76.32,33,93,23.33,overcast clouds
334,Murgab,TM,37.50,61.97,80.47,32,0,4.61,clear sky
335,Fort Nelson,CA,58.81,-122.70,36.99,75,75,2.3,broken clouds
336,Wysokie Mazowieckie,PL,52.92,22.52,66.15,72,100,6.04,overcast clouds
337,Butler,US,39.45,-84.57,81.21,48,75,3.44,broken clouds
338,Bolobo,CD,-2.17,16.23,75.96,90,99,8.08,moderate rain
339,Sitka,US,57.05,-135.33,42.69,87,40,0.0,scattered clouds
340,Cumanayagua,CU,22.15,-80.20,83.95,40,0,7.65,clear sky
341,Kawalu,ID,-7.38,108.21,74.48,95,81,2.01,broken clouds
342,Alice Springs,AU,-23.70,133.88,45.95,61,24,0.0,few clouds
343,Kiama,AU,-34.68,150.87,62.58,95,100,3.0,light rain
344,Touros,BR,-5.20,-35.46,83.79,69,96,11.95,overcast clouds
345,Mednogorskiy,RU,43.92,41.18,42.62,96,100,0.54,overcast clouds
346,Gunjur,GM,13.20,-16.73,84.27,58,0,9.22,clear sky
347,Ayagoz,KZ,47.97,80.44,63.66,46,100,7.4,moderate rain
348,Camopi,GF,3.17,-52.32,79.11,92,79,3.71,light rain
349,Mildura,AU,-34.20,142.15,57.16,100,100,8.05,light intensity drizzle
350,Filadelfia,US,39.95,-75.16,68.77,48,75,20.71,broken clouds
351,Rudnogorsk,RU,57.26,103.75,39.25,74,24,1.81,few clouds
352,Sitges,ES,41.24,1.81,81.72,51,13,11.97,few clouds
353,Ambilobe,MG,-13.20,49.05,74.93,89,14,3.13,light rain
354,Umm Lajj,SA,25.02,37.27,82.83,56,0,15.43,clear sky
355,Morro Bay,US,35.37,-120.85,54.27,68,0,6.49,clear sky
356,Yablonovo,RU,50.85,37.36,52.12,65,100,11.32,overcast clouds
357,Sijunjung,ID,-0.69,100.95,75.58,89,63,2.26,broken clouds
358,Rimavska Sobota,SK,48.38,20.02,77.0,56,79,8.63,broken clouds
359,Chik,RU,54.99,82.43,52.0,25,0,6.71,clear sky
